step,loss
0,2.3022828
5,2.2060032
10,2.0362165
15,1.8482559
20,1.6229098
25,1.6200722
30,1.5371091
35,1.4977043
40,1.3465428
45,1.2990463
50,1.2260543
55,1.4857576
60,1.3042134
65,1.3805815
70,1.1477033
75,1.0612375
80,1.1430013
85,1.2149918
90,1.21755
95,1.2934037
100,1.3314497
105,1.2795389
110,1.1579329
115,1.2939107
120,1.387866
125,1.291359
130,1.1259403
135,1.2092459
140,1.0742979
145,1.1364075
150,1.1344059
155,1.2987287
160,1.0157408
165,0.9866178
170,1.1600063
175,1.351763
180,1.2915018
185,1.0848718
190,1.1557186
195,1.335819
200,1.0916667
205,1.1627324
210,1.1977777
215,1.1239454
220,1.1379677
225,1.0219142
230,1.1696132
235,1.2796937
240,1.0735333
245,0.97635484
250,0.9671087
255,1.245137
260,0.9897552
265,0.8534579
270,0.8766409
275,0.86277276
280,1.1240039
285,1.0858674
290,0.97585315
295,1.0659952
300,1.0397007
305,0.7856661
310,0.98095393
315,0.85123
320,1.0598449
325,0.9169658
330,0.8245647
335,0.9236479
340,0.9788255
345,0.8176349
