step,train_acc
0,0.109375
5,0.34375
10,0.3671875
15,0.4375
20,0.46875
25,0.4609375
30,0.46875
35,0.515625
40,0.59375
45,0.546875
50,0.609375
55,0.5234375
60,0.609375
65,0.5
70,0.609375
75,0.6328125
80,0.6015625
85,0.6171875
90,0.59375
95,0.53125
100,0.578125
105,0.5859375
110,0.5859375
115,0.578125
120,0.5234375
125,0.578125
130,0.6328125
135,0.5859375
140,0.640625
145,0.6171875
150,0.640625
155,0.5078125
160,0.6875
165,0.6875
170,0.640625
175,0.5078125
180,0.546875
185,0.671875
190,0.609375
195,0.4921875
200,0.65625
205,0.6015625
210,0.5546875
215,0.6015625
220,0.6796875
225,0.65625
230,0.609375
235,0.515625
240,0.7109375
245,0.7421875
250,0.703125
255,0.6328125
260,0.734375
265,0.7265625
270,0.7578125
275,0.7265625
280,0.6015625
285,0.6328125
290,0.6640625
295,0.671875
300,0.6484375
305,0.7265625
310,0.7109375
315,0.7265625
320,0.6328125
325,0.6796875
330,0.7578125
335,0.7109375
340,0.65625
345,0.71875
