step,train_acc
0,0.140625
5,0.34375
10,0.421875
15,0.4765625
20,0.4140625
25,0.5
30,0.4921875
35,0.546875
40,0.5703125
45,0.5546875
50,0.609375
55,0.6171875
60,0.578125
65,0.640625
70,0.640625
75,0.609375
80,0.59375
85,0.6875
90,0.734375
95,0.6484375
100,0.71875
105,0.6328125
110,0.671875
115,0.6484375
120,0.609375
125,0.6328125
130,0.6953125
135,0.6640625
140,0.640625
145,0.609375
150,0.609375
155,0.6953125
160,0.6796875
165,0.6640625
170,0.6640625
175,0.6875
180,0.65625
185,0.7421875
190,0.6015625
195,0.578125
200,0.625
205,0.703125
210,0.6171875
215,0.6875
220,0.6484375
225,0.6875
230,0.671875
235,0.6328125
240,0.7109375
245,0.703125
250,0.6640625
255,0.609375
260,0.6796875
265,0.65625
270,0.625
275,0.6171875
280,0.6875
285,0.703125
290,0.65625
295,0.7421875
300,0.7109375
305,0.640625
310,0.703125
315,0.7734375
320,0.796875
325,0.765625
330,0.7890625
335,0.8046875
340,0.8046875
345,0.7265625
350,0.7421875
355,0.7890625
360,0.765625
365,0.6796875
370,0.8203125
375,0.7734375
380,0.796875
385,0.8359375
390,0.7734375
395,0.828125
400,0.8203125
405,0.7890625
410,0.7734375
415,0.7265625
420,0.8515625
425,0.796875
430,0.78125
435,0.8125
440,0.78125
445,0.75
450,0.703125
455,0.84375
460,0.7890625
465,0.75
470,0.765625
475,0.7890625
480,0.703125
485,0.7734375
490,0.78125
495,0.7734375
500,0.796875
505,0.7734375
510,0.8203125
515,0.796875
520,0.828125
525,0.765625
530,0.859375
535,0.7734375
540,0.8203125
545,0.7578125
550,0.734375
555,0.828125
560,0.7890625
565,0.75
570,0.78125
575,0.7734375
580,0.78125
585,0.78125
590,0.75
595,0.765625
600,0.8046875
605,0.765625
610,0.75
615,0.765625
620,0.7734375
625,0.796875
630,0.8046875
635,0.8046875
640,0.7109375
645,0.78125
650,0.8125
655,0.7890625
660,0.8125
665,0.78125
670,0.7734375
675,0.75
680,0.78125
685,0.78125
690,0.7734375
695,0.78125
700,0.796875
705,0.7421875
710,0.7578125
715,0.796875
720,0.828125
725,0.78125
730,0.8203125
735,0.6953125
740,0.859375
745,0.7890625
750,0.8046875
755,0.734375
760,0.8203125
765,0.8359375
770,0.7265625
775,0.75
780,0.796875
785,0.78125
790,0.78125
795,0.796875
800,0.7734375
805,0.796875
810,0.8203125
815,0.796875
820,0.828125
825,0.6875
830,0.7578125
835,0.765625
840,0.7734375
845,0.828125
850,0.7109375
855,0.8515625
860,0.8046875
865,0.8359375
870,0.828125
875,0.796875
880,0.765625
885,0.8125
890,0.7578125
895,0.765625
900,0.8203125
905,0.8046875
910,0.6953125
915,0.8046875
920,0.8359375
925,0.7421875
930,0.8125
935,0.859375
940,0.7890625
945,0.7890625
950,0.8046875
955,0.8203125
960,0.7890625
965,0.78125
970,0.8125
975,0.7109375
980,0.8359375
985,0.8359375
990,0.796875
995,0.8046875
1000,0.875
1005,0.8046875
1010,0.7734375
1015,0.828125
1020,0.84375
1025,0.78125
1030,0.7734375
1035,0.78125
1040,0.78125
1045,0.796875
1050,0.7734375
1055,0.7265625
1060,0.765625
1065,0.84375
1070,0.828125
1075,0.8203125
1080,0.78125
1085,0.75
1090,0.8125
1095,0.7734375
1100,0.75
1105,0.7890625
1110,0.7890625
1115,0.796875
1120,0.8359375
1125,0.7890625
1130,0.7578125
1135,0.8359375
1140,0.7421875
1145,0.8203125
1150,0.8203125
1155,0.7890625
1160,0.8359375
1165,0.7265625
1170,0.7734375
1175,0.7421875
1180,0.78125
1185,0.71875
1190,0.7421875
1195,0.796875
1200,0.7421875
1205,0.765625
1210,0.796875
1215,0.7734375
1220,0.8203125
1225,0.8125
1230,0.734375
1235,0.7734375
1240,0.8125
1245,0.734375
1250,0.7890625
1255,0.78125
1260,0.84375
1265,0.7734375
1270,0.7578125
1275,0.8046875
1280,0.7109375
1285,0.8359375
1290,0.8125
1295,0.78125
1300,0.7578125
1305,0.734375
1310,0.7890625
1315,0.84375
1320,0.7890625
1325,0.7734375
1330,0.796875
1335,0.796875
1340,0.8515625
1345,0.8125
1350,0.8203125
1355,0.8125
1360,0.7421875
1365,0.7578125
