step,loss
0,2.2966805
5,2.1891067
10,2.0265121
15,1.8158092
20,1.7917101
25,1.4800946
30,1.4568003
35,1.3647748
40,1.2755041
45,1.3410037
50,1.3013153
55,1.0942022
60,1.2714764
65,1.1395884
70,1.0865554
75,1.1973679
80,1.2103956
85,1.0697125
90,0.89345324
95,1.1812541
100,0.9185856
105,1.109514
110,1.0486028
115,1.0838251
120,1.2891736
125,1.1180767
130,1.0363092
135,1.1644628
140,1.0845597
145,1.1723158
150,1.1799823
155,0.9828824
160,1.2028131
165,1.0784572
170,0.9727421
175,1.0816536
180,1.0649366
185,0.8887175
190,1.068582
195,1.2936684
200,1.2622633
205,1.0067146
210,1.2516687
215,1.0242589
220,1.0527034
225,1.08624
230,1.0183616
235,1.1108081
240,1.0912981
245,0.9475029
250,1.0017836
255,1.1296237
260,0.95729077
265,0.9884013
270,1.077611
275,1.0774649
280,1.1120555
285,0.99604404
290,1.1113986
295,0.901639
300,1.0179459
305,1.0507138
310,1.0908401
315,0.81342745
320,0.7846552
325,0.9294486
330,0.81147873
335,0.88060063
340,0.80660695
345,0.89422876
350,0.7782947
355,0.7923672
360,0.8515022
365,0.99287474
370,0.7535368
375,0.8075795
380,0.7814898
385,0.6669079
390,0.7100106
395,0.66730297
400,0.66459984
405,0.81719005
410,0.76578176
415,0.95157313
420,0.6594972
425,0.63315386
430,0.7072941
435,0.7725404
440,0.76613456
445,0.766086
450,0.8531494
455,0.65832484
460,0.8698075
465,0.8615084
470,0.8713361
475,0.82448417
480,0.9578814
485,0.84658766
490,0.72682935
495,0.86043257
500,0.69020975
505,0.75541824
510,0.76141506
515,0.8568337
520,0.65275043
525,0.77867454
530,0.52542174
535,0.77660155
540,0.66121876
545,0.9032119
550,0.7535745
555,0.6498534
560,0.7242771
565,0.794546
570,0.8306785
575,0.8820449
580,0.8302657
585,0.69223183
590,0.90561026
595,0.7148588
600,0.77380925
605,0.8251934
610,0.8055247
615,0.83492464
620,0.7896452
625,0.7587935
630,0.8301643
635,0.68829376
640,0.8648691
645,0.752348
650,0.64660597
655,0.7684777
660,0.7098676
665,0.794637
670,0.74465656
675,0.7090195
680,0.8149819
685,0.95380765
690,0.91389
695,0.72563946
700,0.8449067
705,0.7208804
710,0.69060624
715,0.7498735
720,0.65285426
725,0.849603
730,0.6464939
735,0.91311526
740,0.7158605
745,0.6734119
750,0.7086853
755,0.8070211
760,0.6293103
765,0.6703162
770,0.94259536
775,0.84430766
780,0.7063198
785,0.6925528
790,0.90066755
795,0.7437374
800,0.8104285
805,0.7520828
810,0.7595328
815,0.66536576
820,0.576291
825,0.9194393
830,0.85162425
835,0.77388215
840,0.8734983
845,0.75135946
850,0.85830665
855,0.60708284
860,0.7327538
865,0.62671494
870,0.6826664
875,0.6717631
880,0.79782593
885,0.73611593
890,0.81926656
895,0.66677064
900,0.7556008
905,0.8034546
910,0.9158817
915,0.7480708
920,0.587417
925,0.7935226
930,0.7398516
935,0.6426039
940,0.6488299
945,0.6370827
950,0.6574794
955,0.60289097
960,0.806114
965,0.92003775
970,0.67751914
975,0.8104029
980,0.71128666
985,0.65320903
990,0.7387545
995,0.76476306
1000,0.42117363
1005,0.6898062
1010,0.83762467
1015,0.6782821
1020,0.6108748
1025,0.75824046
1030,0.81595254
1035,0.9230062
1040,0.71108305
1045,0.6415516
1050,0.72826874
1055,0.8307208
1060,0.7888198
1065,0.59860504
1070,0.63337255
1075,0.6722123
1080,0.72536194
1085,0.7975373
1090,0.62830067
1095,0.74617976
1100,0.84057415
1105,0.7649512
1110,0.77538323
1115,0.7941644
1120,0.6171149
1125,0.83975005
1130,0.78363705
1135,0.6265112
1140,0.8471937
1145,0.64393586
1150,0.69177395
1155,0.6620324
1160,0.628514
1165,0.81500936
1170,0.79518676
1175,0.89765406
1180,0.76314175
1185,0.82461476
1190,0.79970956
1195,0.6090792
1200,0.87746805
1205,0.7002201
1210,0.7532784
1215,0.69674134
1220,0.69096756
1225,0.64822686
1230,0.877412
1235,0.70351046
1240,0.7223298
1245,0.8572711
1250,0.75674146
1255,0.6951988
1260,0.7125558
1265,0.74716055
1270,0.80792165
1275,0.72051513
1280,0.92122376
1285,0.6330747
1290,0.8564873
1295,0.7357302
1300,0.75454915
1305,0.8086381
1310,0.70332384
1315,0.67197824
1320,0.7386828
1325,0.76275
1330,0.74856055
1335,0.7200743
1340,0.5628263
1345,0.66541564
1350,0.52885616
1355,0.78551865
1360,0.82450974
1365,0.8804604
1370,0.7968143
1375,0.65350837
1380,0.597984
1385,0.75248003
1390,0.64578676
1395,0.7849143
1400,0.78191125
1405,0.6221541
1410,0.77972436
1415,0.79587185
1420,0.6444974
1425,0.7231952
1430,0.8709918
1435,0.5536189
1440,0.7634841
1445,0.6921481
1450,0.72598004
1455,0.7309052
1460,0.64868724
1465,0.79072547
1470,0.82367635
1475,0.7780192
1480,0.86528885
1485,0.7269772
1490,0.7449665
1495,0.8384193
1500,0.65131676
1505,0.5520982
1510,0.64911085
1515,0.658959
1520,0.608176
1525,0.87481296
1530,0.7433543
1535,0.8077847
1540,0.7652081
1545,0.6589289
1550,0.77840155
1555,0.6730671
1560,0.605803
1565,0.69761956
1570,0.6602568
1575,0.77111506
1580,0.73888665
1585,0.7136966
1590,0.6309755
1595,0.70526755
1600,0.55689406
1605,0.78834605
1610,0.9995284
1615,0.646933
1620,0.6670654
1625,0.60994947
1630,0.8308325
1635,0.6331494
1640,0.57573706
1645,0.79977536
1650,0.8737168
1655,0.79086006
1660,0.7144398
1665,0.7416449
1670,0.7835242
1675,0.4673111
1680,0.7653563
1685,0.6559354
1690,0.5636519
1695,0.8874921
1700,0.6591665
1705,0.75504446
1710,0.5670014
1715,0.49750763
1720,0.8726436
1725,0.6670497
1730,0.80993235
1735,0.78762805
1740,0.5542542
1745,0.88699484
1750,0.7358483
1755,0.8249285
1760,0.78568745
1765,0.7032113
1770,0.58218944
1775,0.5997713
1780,0.6527652
1785,0.63823897
1790,0.8047154
1795,0.670778
1800,0.7829293
1805,0.60562664
1810,0.7339297
1815,0.6770755
1820,0.58325446
1825,0.5918429
1830,0.694056
1835,0.66217893
1840,0.86469483
1845,0.67108446
1850,0.6953392
1855,0.5778952
1860,0.7753304
1865,0.7233869
1870,0.5395205
1875,0.7628883
1880,0.52430373
1885,0.7063037
1890,0.7698147
1895,0.7743897
1900,0.76956046
1905,0.6945118
1910,0.5473319
1915,0.6460928
1920,0.66789377
1925,0.7410696
1930,0.7681972
1935,0.99137616
1940,0.9413626
1945,0.78863925
1950,0.7847419
1955,0.76855576
1960,0.66429526
1965,0.85174596
1970,0.7470836
1975,0.75546724
1980,0.7409162
1985,0.6985656
1990,0.80691415
1995,0.8484617
2000,0.62736595
2005,0.7487464
2010,0.9457611
2015,0.58020854
2020,0.7789023
2025,0.7262714
2030,0.6713933
2035,0.872512
2040,0.66711783
2045,0.73792195
2050,0.58168226
2055,0.86684185
2060,0.7226887
2065,0.8071617
2070,0.6152426
2075,0.7310866
2080,0.7487017
2085,0.7362704
2090,0.8479713
2095,0.7398
2100,0.61268914
2105,0.77492523
2110,0.65745133
2115,0.76750916
2120,0.514629
2125,0.7103636
2130,0.64265114
2135,0.5309117
2140,0.53347796
2145,0.685271
2150,0.79369766
2155,0.7699945
2160,0.6508031
2165,0.58239245
2170,0.87894577
2175,0.78650653
