step,train_acc
0,0.125
5,0.4140625
10,0.5078125
15,0.3984375
20,0.515625
25,0.5703125
30,0.5859375
35,0.59375
40,0.625
45,0.734375
50,0.71875
55,0.6328125
60,0.6796875
65,0.6875
70,0.6796875
75,0.65625
80,0.703125
85,0.765625
90,0.6796875
95,0.765625
100,0.6796875
105,0.7421875
110,0.75
115,0.6953125
120,0.6875
125,0.7578125
130,0.7421875
135,0.7734375
140,0.71875
145,0.765625
150,0.7890625
155,0.7265625
160,0.7421875
165,0.8125
170,0.7265625
175,0.7734375
180,0.796875
185,0.7421875
190,0.7734375
195,0.78125
200,0.78125
205,0.765625
210,0.7265625
215,0.796875
220,0.7890625
225,0.6640625
230,0.734375
235,0.7578125
240,0.734375
245,0.796875
250,0.8125
255,0.765625
260,0.7734375
265,0.71875
270,0.75
275,0.7578125
280,0.75
285,0.734375
290,0.7109375
295,0.7109375
300,0.7578125
305,0.8359375
310,0.8359375
315,0.796875
320,0.7265625
325,0.828125
330,0.7734375
335,0.78125
340,0.8125
345,0.7890625
350,0.828125
355,0.7265625
360,0.765625
365,0.8125
370,0.8125
375,0.84375
380,0.7890625
385,0.8046875
390,0.796875
395,0.8125
400,0.75
405,0.8046875
410,0.7578125
415,0.765625
420,0.8203125
425,0.7734375
430,0.7890625
435,0.796875
440,0.796875
445,0.7734375
450,0.8515625
455,0.7578125
460,0.78125
465,0.7578125
470,0.8359375
475,0.765625
480,0.7890625
485,0.8046875
490,0.78125
495,0.7890625
500,0.8046875
505,0.828125
510,0.78125
515,0.796875
520,0.78125
525,0.7421875
530,0.7734375
535,0.75
540,0.8359375
545,0.78125
550,0.8203125
555,0.7421875
560,0.78125
565,0.734375
570,0.8046875
575,0.7890625
580,0.796875
585,0.75
590,0.7265625
595,0.7734375
600,0.7890625
605,0.8203125
610,0.8359375
615,0.78125
620,0.75
625,0.84375
630,0.8046875
635,0.7734375
640,0.8046875
645,0.78125
650,0.859375
655,0.7578125
660,0.765625
665,0.796875
670,0.7734375
675,0.796875
680,0.796875
685,0.859375
690,0.7890625
695,0.71875
700,0.7890625
705,0.84375
710,0.7109375
715,0.78125
720,0.8671875
725,0.7890625
730,0.8515625
735,0.8359375
740,0.7421875
745,0.828125
750,0.8125
755,0.78125
760,0.7890625
765,0.7265625
770,0.8359375
775,0.828125
780,0.8046875
785,0.78125
790,0.8046875
795,0.890625
800,0.765625
805,0.765625
810,0.734375
815,0.796875
820,0.78125
825,0.828125
830,0.828125
835,0.796875
840,0.8203125
845,0.8671875
850,0.7578125
855,0.8125
860,0.7734375
865,0.84375
870,0.8046875
875,0.828125
880,0.78125
885,0.7890625
890,0.7734375
895,0.8515625
900,0.8359375
905,0.7734375
910,0.828125
915,0.78125
920,0.7578125
925,0.671875
930,0.7578125
935,0.7734375
940,0.765625
945,0.828125
950,0.765625
955,0.7578125
960,0.765625
965,0.8125
970,0.765625
975,0.7734375
980,0.8046875
985,0.8125
990,0.8515625
995,0.828125
1000,0.796875
1005,0.859375
1010,0.8828125
1015,0.734375
1020,0.8046875
1025,0.78125
1030,0.8125
1035,0.796875
1040,0.8203125
1045,0.78125
1050,0.78125
1055,0.7890625
1060,0.75
1065,0.8125
1070,0.796875
1075,0.8125
1080,0.84375
1085,0.7578125
1090,0.7890625
1095,0.78125
1100,0.7421875
1105,0.78125
1110,0.7734375
1115,0.7578125
1120,0.796875
1125,0.828125
1130,0.84375
1135,0.796875
1140,0.71875
1145,0.859375
1150,0.828125
1155,0.8125
1160,0.765625
1165,0.8125
1170,0.7890625
1175,0.7890625
1180,0.796875
1185,0.828125
1190,0.7734375
1195,0.7578125
1200,0.7578125
1205,0.828125
1210,0.828125
1215,0.765625
1220,0.78125
1225,0.7890625
1230,0.75
1235,0.8046875
1240,0.765625
1245,0.8515625
1250,0.8125
1255,0.8671875
1260,0.75
1265,0.8359375
1270,0.8125
1275,0.8515625
1280,0.875
1285,0.796875
1290,0.828125
1295,0.8125
1300,0.8359375
1305,0.796875
1310,0.8203125
1315,0.78125
1320,0.8203125
1325,0.78125
1330,0.8203125
1335,0.8828125
1340,0.796875
1345,0.734375
1350,0.765625
1355,0.8046875
1360,0.875
1365,0.84375
1370,0.8046875
1375,0.75
1380,0.8203125
1385,0.8046875
1390,0.8671875
1395,0.7734375
1400,0.8125
1405,0.8203125
1410,0.8359375
1415,0.7890625
1420,0.84375
1425,0.8046875
1430,0.7421875
1435,0.7578125
1440,0.8046875
1445,0.703125
1450,0.796875
1455,0.828125
1460,0.8046875
1465,0.7890625
1470,0.84375
1475,0.859375
1480,0.7265625
1485,0.8515625
1490,0.8203125
1495,0.828125
1500,0.8203125
1505,0.8046875
1510,0.796875
1515,0.84375
1520,0.859375
1525,0.7890625
1530,0.7578125
1535,0.8125
1540,0.765625
1545,0.828125
1550,0.84375
1555,0.8125
1560,0.7578125
1565,0.765625
1570,0.7265625
1575,0.78125
1580,0.7890625
1585,0.828125
1590,0.7578125
1595,0.8046875
1600,0.7578125
1605,0.8203125
1610,0.8203125
1615,0.7734375
1620,0.75
1625,0.828125
1630,0.7734375
1635,0.78125
1640,0.8203125
1645,0.7734375
1650,0.8046875
1655,0.796875
1660,0.8203125
1665,0.8046875
1670,0.78125
1675,0.7734375
1680,0.8203125
1685,0.8046875
1690,0.828125
1695,0.8125
1700,0.8203125
1705,0.8359375
1710,0.84375
1715,0.8359375
