step,loss
0,2.2938325
5,2.1949604
10,2.035932
15,1.8192241
20,1.632858
25,1.5368094
30,1.4925748
35,1.3673685
40,1.230557
45,1.3934885
50,1.0897875
55,1.1585165
60,1.043714
65,1.1740333
70,1.2521418
75,1.087281
80,1.0765939
85,1.1202159
90,0.95921755
95,0.9295727
100,1.1210527
105,1.0142536
110,1.0666412
115,1.0326188
120,1.134096
125,0.9881653
130,0.8103788
135,1.0620375
140,1.2254397
145,1.0885726
150,0.977209
155,1.1864693
160,0.95084274
165,1.0985198
170,0.92278695
175,0.9427539
180,0.9895339
185,0.87843305
190,0.90820193
195,0.9734814
200,1.0198615
205,1.0053116
210,1.0257109
215,1.0721049
220,1.0263723
225,0.98159736
230,0.96695954
235,0.9412814
240,1.0724719
245,0.9806877
250,1.0808418
255,1.1544671
260,0.9331533
265,0.9682006
270,1.0995401
275,0.92454046
280,0.9155047
285,0.9153117
290,0.91171646
295,0.93112177
300,1.0154407
305,0.9635112
310,0.9052087
315,0.7615793
320,1.0321419
325,0.90801543
330,1.1045754
335,0.9976499
340,0.84145296
345,1.025742
350,0.8492042
355,0.99559176
360,0.9509373
365,0.98057747
370,0.9765966
375,0.87794304
380,0.8377588
385,0.9299981
390,1.0123346
395,1.0430423
400,0.6946261
405,1.0350845
410,0.65892994
415,1.0352672
420,0.76965123
425,0.9314796
430,0.9383594
435,1.1041032
440,0.8716296
445,0.8152443
450,0.99401665
455,0.83091813
460,0.92388606
465,1.0118184
470,0.9084519
475,1.0154507
480,0.81428856
485,1.0101694
490,0.976779
495,1.0645278
500,0.9230448
505,0.9204439
510,0.88442343
515,0.8881712
520,0.883407
525,0.79520345
530,0.93936706
535,0.9395138
540,0.8128855
545,1.0299199
