step,loss
0,2.2984433
5,2.1626964
10,2.0463824
15,1.8162038
20,1.4327528
25,1.3681417
30,1.3381417
35,1.2496028
40,1.2294579
45,1.1709827
50,0.9912069
55,1.0952435
60,1.0295238
65,1.0082816
70,1.0845118
75,1.0780737
80,0.94192857
85,0.7322173
90,0.9573974
95,0.93318117
100,0.98126686
105,0.86160845
110,1.0539254
115,1.0259212
120,0.9262821
125,0.86293507
130,0.7678869
135,0.9807819
140,0.9946591
145,1.0068134
150,0.80474985
155,0.7982116
160,0.9463359
165,0.7707431
170,0.86107993
175,0.73203754
180,0.6234855
185,0.90683377
190,0.8137984
195,0.68705785
200,0.7747736
205,0.8865567
210,0.89978164
215,0.7154422
220,0.7110499
225,0.7450148
230,0.6595149
235,0.8299589
240,0.90415263
245,0.7813909
250,0.7812324
255,0.7208467
260,0.81769806
265,0.86285293
270,0.87929255
275,0.59391016
280,0.87817323
285,0.9287812
290,0.9732062
295,0.83321965
300,0.7633385
305,0.89827514
310,1.0342019
315,0.9751141
320,0.82959044
325,0.6726426
330,0.65681195
335,0.75294805
340,0.5932638
345,0.88054687
350,0.9853566
355,0.8440155
360,0.5889674
365,0.61663187
370,0.67923987
375,0.8303183
380,0.7597812
385,0.7756611
390,0.64316773
395,0.8155896
400,0.8114954
405,0.741899
410,0.8760457
415,0.8266164
420,0.74158263
425,0.660257
430,0.5321119
435,0.84760964
440,0.7637349
445,0.65759444
450,0.7618649
455,0.70056045
460,0.596917
465,0.91923845
470,0.74185777
475,0.8171946
480,0.8821473
485,0.6401578
490,0.8466302
495,0.87003064
500,0.63734895
505,0.77238524
510,0.8577149
515,0.84209895
520,0.71439725
525,0.71643364
530,0.6903266
535,0.83207554
540,0.6739067
545,0.71155715
550,0.752454
555,0.73144567
560,0.80512697
565,0.5389921
570,0.61595106
575,0.8004117
580,0.7204288
585,0.97360677
590,0.7352626
595,0.6410785
600,0.57850724
605,0.9188975
610,0.66839004
615,0.654596
620,0.672322
625,0.63782686
630,0.6766963
635,0.78656477
640,0.5682248
645,0.65885365
650,0.6468084
655,0.8196127
660,0.596418
665,0.7245387
670,0.7824797
675,0.76499534
680,0.9334674
685,0.75451404
690,0.65754783
695,0.75400734
700,0.83937794
705,0.80031174
710,0.9457569
715,0.60803497
720,0.7760383
725,0.5480123
730,0.6864167
735,0.72171575
740,0.5492248
745,0.6108813
750,0.699854
755,0.66070473
760,0.74316573
765,0.62088394
770,0.69824296
775,0.6676589
780,0.6364328
785,0.76442915
790,0.6823902
795,0.6914552
800,0.7145746
805,0.7449257
810,0.7631508
815,0.5722935
820,0.9469128
825,0.650036
