step,train_acc
0,0.0859375
5,0.234375
10,0.3671875
15,0.4375
20,0.484375
25,0.5234375
30,0.578125
35,0.6328125
40,0.671875
45,0.6796875
50,0.5859375
55,0.7265625
60,0.625
65,0.6875
70,0.671875
75,0.6640625
80,0.6875
85,0.7265625
90,0.6796875
95,0.7734375
100,0.6875
105,0.75
110,0.6875
115,0.7109375
120,0.7890625
125,0.765625
130,0.7734375
135,0.7890625
140,0.65625
145,0.765625
150,0.7734375
155,0.7109375
160,0.8359375
165,0.7734375
170,0.7109375
175,0.828125
180,0.78125
185,0.7734375
190,0.7578125
195,0.703125
200,0.7734375
205,0.796875
210,0.78125
215,0.8203125
220,0.6875
225,0.7890625
230,0.8125
235,0.7734375
240,0.7734375
245,0.75
250,0.6953125
255,0.7109375
260,0.7265625
265,0.734375
270,0.8359375
275,0.7265625
280,0.8046875
285,0.7578125
290,0.8515625
295,0.84375
300,0.7421875
305,0.78125
310,0.796875
315,0.796875
320,0.7109375
325,0.75
330,0.734375
335,0.796875
340,0.7734375
345,0.78125
350,0.8046875
355,0.828125
360,0.7890625
365,0.78125
370,0.75
375,0.765625
380,0.8125
385,0.78125
390,0.78125
395,0.8125
400,0.734375
405,0.7578125
410,0.765625
415,0.75
420,0.671875
425,0.7578125
430,0.6796875
435,0.7734375
440,0.75
445,0.78125
450,0.7421875
455,0.796875
460,0.8125
465,0.75
470,0.78125
475,0.734375
480,0.765625
485,0.78125
490,0.8046875
495,0.78125
500,0.78125
505,0.7890625
510,0.7421875
515,0.8046875
520,0.7890625
525,0.796875
530,0.7421875
535,0.7890625
540,0.765625
545,0.8125
550,0.8359375
555,0.796875
560,0.84375
565,0.8359375
570,0.75
575,0.8046875
580,0.8125
585,0.7734375
590,0.8359375
595,0.8046875
600,0.8203125
605,0.734375
610,0.734375
615,0.765625
620,0.6953125
625,0.7734375
630,0.765625
635,0.8125
640,0.7578125
645,0.7265625
650,0.7734375
655,0.7109375
660,0.796875
665,0.7734375
670,0.8203125
675,0.78125
680,0.671875
685,0.8125
690,0.75
695,0.765625
700,0.7890625
705,0.8125
710,0.7578125
715,0.78125
720,0.78125
725,0.7734375
730,0.7734375
735,0.7265625
740,0.7421875
745,0.7578125
750,0.78125
755,0.8046875
760,0.7734375
765,0.796875
770,0.6875
775,0.7734375
780,0.8359375
785,0.796875
790,0.8046875
795,0.7734375
800,0.765625
