step,loss
0,2.2996013
5,2.2445948
10,2.078306
15,1.9364407
20,1.6944585
25,1.5683658
30,1.4280638
35,1.1809896
40,1.0513704
45,1.0377105
50,1.3641396
55,0.9210275
60,1.1910218
65,0.96374
70,1.078647
75,1.174857
80,1.0485525
85,0.9982987
90,0.9622506
95,0.901544
100,1.0707409
105,0.87166077
110,1.0739964
115,0.9064336
120,0.70664394
125,0.85174125
130,0.7724236
135,0.6812918
140,1.0822408
145,0.79106003
150,0.8440851
155,0.9203926
160,0.7707786
165,0.7722782
170,0.8750273
175,0.6567413
180,0.8213111
185,0.8900296
190,0.8531959
195,0.98224545
200,0.76311547
205,0.7501582
210,0.6981573
215,0.6933416
220,0.96578
225,0.7930009
230,0.6744868
235,0.8370505
240,0.7906718
245,0.7957989
250,0.9789797
255,0.9346901
260,0.8618761
265,0.8217245
270,0.632059
275,0.880569
280,0.8085252
285,0.7370331
290,0.58534026
295,0.7441366
300,0.8919171
305,0.8788526
310,0.7996218
315,0.7369666
320,0.9861905
325,0.82039547
330,0.8893904
335,0.70936996
340,0.69329554
345,0.7278636
350,0.77055097
355,0.61152077
360,0.7139281
365,0.7684622
370,0.804108
375,0.79498565
380,0.8312006
385,0.6965132
390,0.8020088
395,0.6529407
400,0.9683055
405,0.8823259
410,0.76749086
415,0.91388613
420,0.95880014
425,0.7448878
430,1.0296582
435,0.6953069
440,0.7689587
445,0.83250797
450,0.7735578
455,0.7721579
460,0.76144564
465,0.8186688
470,0.7668614
475,0.9383292
480,0.82632804
485,0.6912929
490,0.7450896
495,0.7703624
500,0.74954283
505,0.7186925
510,0.89496535
515,0.7349856
520,0.7714193
525,0.7206617
530,0.7451299
535,0.6581761
540,0.77868736
545,0.68468684
550,0.6881827
555,0.6640781
560,0.6188886
565,0.79154146
570,0.79926556
575,0.6509737
580,0.7216733
585,0.7351174
590,0.6194868
595,0.8061353
600,0.82145363
605,0.8501648
610,0.8852899
615,0.82961386
620,0.89881575
625,0.8371899
630,0.7054455
635,0.7067547
640,0.7720518
645,0.83246803
650,0.78603274
655,0.9777019
660,0.59061396
665,0.77484804
670,0.70640886
675,0.73953575
680,0.96965903
685,0.6294209
690,0.9421277
695,0.9011869
700,0.8137249
705,0.61171764
710,0.7197576
715,0.70619273
720,0.78943247
725,0.8140006
730,0.8248309
735,0.86400914
740,0.75423837
745,0.76217633
750,0.6842177
755,0.714113
760,0.708996
765,0.79902816
770,1.0270177
775,0.6987748
780,0.57840043
785,0.7842623
790,0.67864066
795,0.9249772
800,0.89637524
805,0.6457133
810,0.7002868
815,1.0167215
820,0.8017969
825,0.5598254
830,0.7173915
835,0.74735695
840,0.70462435
845,0.81508946
850,0.81262887
855,0.6705649
860,0.73949814
865,0.7336803
870,0.77427614
875,0.69569194
880,0.54155326
885,0.7923387
890,0.6912011
895,0.57569146
900,0.77462643
905,0.68743855
910,0.73298097
915,0.89163035
920,0.79274607
925,0.857237
930,0.8089654
935,0.87071705
940,0.7514889
945,0.60185325
950,0.6604438
955,0.7206202
960,0.70673525
965,0.63383967
970,0.70422196
975,0.6955875
980,0.77227706
985,0.7026624
990,0.6592941
995,0.7396842
1000,0.8265475
1005,0.859086
1010,0.69967675
1015,0.9087795
1020,0.67983705
1025,0.70475376
1030,0.5926647
1035,0.7353976
1040,0.73083436
1045,0.8744578
1050,0.7381373
1055,0.6100007
1060,0.6388078
1065,0.7593894
1070,0.78976464
1075,0.7641276
1080,0.6999855
1085,0.80198586
1090,0.56774366
1095,0.95239013
1100,0.7105473
1105,0.58956367
1110,0.8073513
1115,0.6380651
1120,0.7809222
1125,0.5954171
1130,0.9568118
1135,0.67594063
1140,0.84437436
1145,0.73003674
1150,0.7316075
1155,0.6750844
1160,0.8118702
1165,0.73082733
1170,0.838104
1175,0.7922965
1180,0.65220684
1185,0.8750922
1190,0.87662697
1195,0.7875066
1200,0.84791005
1205,0.7633635
1210,0.6510111
1215,0.6937961
1220,0.6034485
1225,0.64186823
1230,0.6658405
1235,0.8614185
1240,0.62028325
1245,0.7767142
1250,0.56773937
1255,0.7568556
1260,0.6567097
1265,0.72165084
1270,0.7717135
1275,0.618518
1280,0.7043902
1285,0.58521426
1290,0.66728944
1295,0.59760034
1300,0.6138106
1305,0.7122335
1310,0.67191726
1315,0.56014663
1320,0.6299284
1325,0.7314749
1330,0.645267
1335,0.7356143
1340,0.77860165
1345,0.75836885
1350,0.5554244
1355,0.7831057
1360,0.73023415
1365,0.7104492
1370,0.8726196
1375,0.86085206
1380,0.7778046
1385,0.6782609
1390,0.5083686
1395,0.79525274
1400,0.7135313
1405,0.68718684
1410,0.7165369
1415,0.7616083
1420,0.7861091
1425,0.6934885
1430,0.47695807
1435,0.76693654
1440,0.6698978
1445,0.63860303
1450,0.6374614
1455,0.7283081
1460,0.68887305
1465,0.8744382
1470,0.63827336
1475,0.5655386
1480,0.8695638
1485,0.6712749
1490,0.7769247
1495,0.73492205
1500,0.65502775
1505,0.49722376
1510,0.62006575
1515,0.6839143
1520,0.57263356
1525,0.7876018
1530,0.7107372
1535,0.8208554
1540,0.58090925
1545,0.67504346
1550,0.54887474
1555,0.6963629
1560,0.6409787
1565,0.6541957
1570,0.6845879
1575,0.6225105
1580,0.83384764
1585,0.57483697
1590,0.72208667
1595,0.6912819
1600,0.683316
1605,0.68238413
1610,0.63989305
1615,0.5997205
1620,0.7111588
1625,0.8020617
1630,0.7722605
1635,0.82736635
1640,0.72369164
1645,0.74767816
1650,0.6944362
1655,0.6642436
1660,0.8822328
1665,0.88321733
1670,0.7594743
1675,0.7541017
1680,0.77356505
1685,0.74510837
1690,0.8008733
1695,0.65547097
1700,0.8147052
1705,0.8029431
1710,0.6505665
1715,0.72345465
1720,0.6804734
1725,0.67464006
1730,0.634802
1735,0.61561316
1740,0.6136308
1745,0.5615392
1750,0.8524945
1755,0.7256855
1760,0.66676027
1765,0.7425145
1770,0.69341797
1775,0.7164223
1780,0.7063637
1785,0.5473952
1790,0.76987743
1795,0.55680716
1800,0.8068531
1805,0.73013973
1810,0.5962612
1815,0.60615206
1820,0.7328581
1825,0.5857794
1830,0.6758004
1835,0.7571238
1840,0.6324657
1845,0.7767298
1850,0.6126709
1855,0.65454054
1860,0.68407655
1865,0.79029787
1870,0.7142968
1875,0.8341266
1880,0.70935214
1885,0.67162716
1890,0.75181556
1895,0.71724063
1900,0.6024231
1905,0.74033475
1910,0.6582393
1915,0.5769376
1920,0.68553936
1925,0.60568905
1930,0.8078898
1935,0.70729756
1940,0.52036595
1945,0.59900844
1950,0.5770408
1955,0.74081296
1960,0.77736557
1965,0.7619103
1970,0.8602396
1975,0.63184166
1980,0.7058512
1985,0.6770184
1990,0.60391974
1995,0.9003127
2000,0.76023614
2005,0.5599067
2010,0.6337911
2015,0.68725204
