step,train_acc
0,0.1484375
5,0.234375
10,0.296875
15,0.3359375
20,0.3515625
25,0.390625
30,0.421875
35,0.359375
40,0.3984375
45,0.453125
50,0.484375
55,0.46875
60,0.5078125
65,0.4765625
70,0.5078125
75,0.515625
80,0.5703125
85,0.5703125
90,0.5
95,0.46875
100,0.484375
105,0.5390625
110,0.5078125
115,0.546875
120,0.5625
125,0.5859375
130,0.5859375
135,0.5625
140,0.546875
145,0.6015625
150,0.5703125
155,0.6015625
160,0.5390625
165,0.4921875
170,0.59375
175,0.578125
180,0.5
185,0.546875
190,0.578125
195,0.609375
200,0.59375
205,0.609375
210,0.6484375
215,0.6015625
220,0.578125
225,0.625
230,0.5078125
235,0.5859375
240,0.5859375
245,0.6171875
250,0.546875
255,0.59375
260,0.6015625
265,0.6796875
270,0.625
275,0.53125
280,0.640625
285,0.6171875
290,0.625
295,0.578125
300,0.640625
305,0.6328125
310,0.609375
315,0.625
320,0.6015625
325,0.625
330,0.6796875
335,0.6171875
340,0.59375
345,0.5546875
350,0.5859375
355,0.703125
360,0.6796875
365,0.6796875
370,0.625
375,0.6484375
380,0.6328125
385,0.6015625
390,0.7109375
395,0.71875
400,0.625
405,0.6640625
410,0.6875
415,0.6796875
420,0.6484375
425,0.6875
430,0.5703125
435,0.7265625
440,0.625
445,0.703125
450,0.6953125
455,0.6875
460,0.6171875
465,0.71875
470,0.7109375
475,0.671875
480,0.65625
485,0.6796875
490,0.609375
495,0.625
500,0.6953125
505,0.6640625
510,0.6796875
515,0.640625
520,0.6953125
525,0.6953125
530,0.6953125
535,0.6796875
540,0.7109375
545,0.7421875
550,0.6953125
555,0.7421875
560,0.78125
565,0.6796875
570,0.6171875
575,0.7265625
580,0.6953125
585,0.65625
590,0.6015625
595,0.6015625
600,0.671875
605,0.671875
610,0.7265625
615,0.6796875
620,0.703125
625,0.671875
630,0.6328125
635,0.65625
640,0.6171875
645,0.7578125
650,0.6484375
655,0.7421875
660,0.671875
665,0.609375
670,0.6796875
675,0.71875
680,0.7109375
685,0.7421875
690,0.6875
695,0.6796875
700,0.65625
705,0.7421875
710,0.7109375
715,0.671875
720,0.71875
725,0.7109375
730,0.703125
735,0.6796875
740,0.6796875
745,0.5859375
750,0.796875
755,0.703125
760,0.6796875
765,0.6953125
770,0.6484375
775,0.734375
780,0.6953125
785,0.671875
790,0.71875
795,0.7421875
800,0.7265625
805,0.7734375
810,0.6875
815,0.6796875
820,0.7109375
825,0.71875
830,0.6875
835,0.7890625
840,0.796875
845,0.6796875
850,0.75
855,0.65625
860,0.75
865,0.75
870,0.7890625
875,0.6953125
880,0.7578125
885,0.7734375
890,0.7734375
895,0.734375
900,0.7734375
905,0.7890625
910,0.6875
915,0.8046875
920,0.8125
925,0.78125
930,0.7890625
935,0.7578125
940,0.703125
945,0.78125
950,0.7421875
955,0.6640625
960,0.8203125
965,0.765625
970,0.7578125
975,0.765625
980,0.8515625
985,0.8125
990,0.734375
995,0.765625
1000,0.8359375
1005,0.7890625
1010,0.8203125
1015,0.7421875
1020,0.7890625
1025,0.875
1030,0.75
