step,loss
0,2.295804
5,2.2373548
10,2.1617308
15,2.0614722
20,1.9674215
25,1.7420843
30,1.6947193
35,1.7755562
40,1.717951
45,1.6405175
50,1.5337803
55,1.5788853
60,1.5003049
65,1.4565976
70,1.5277522
75,1.4881029
80,1.2738919
85,1.3076111
90,1.3811489
95,1.4509517
100,1.500799
105,1.3810496
110,1.4599693
115,1.307296
120,1.2807307
125,1.3143268
130,1.316237
135,1.3446418
140,1.3314439
145,1.3016505
150,1.2681098
155,1.3311747
160,1.3818069
165,1.3573023
170,1.2351438
175,1.2233393
180,1.4670547
185,1.4136
190,1.3300669
195,1.2257234
200,1.2050743
205,1.1892089
210,1.0337209
215,1.2001106
220,1.2579232
225,1.1520407
230,1.4427773
235,1.2225472
240,1.2757338
245,1.3507398
250,1.2292767
255,1.2328292
260,1.1981039
265,0.98922396
270,1.2105811
275,1.3193398
280,1.1942008
285,1.3035067
290,1.1524433
295,1.3666261
300,1.0796969
305,1.0318084
310,1.1913495
315,0.98079586
320,1.107676
325,1.048028
330,0.86485463
335,1.0809225
340,1.0832212
345,1.2161162
350,1.162163
355,0.8651009
360,0.85108393
365,0.9047238
370,0.97068495
375,1.0278049
380,0.93818986
385,1.0718073
390,0.77102345
395,0.81880605
400,1.0130296
405,0.9809884
410,0.88190866
415,0.8899765
420,0.95668244
425,0.97407436
430,1.1833861
435,0.73104286
440,1.0874878
445,0.87373924
450,0.96446997
455,0.8869721
460,1.0144231
465,0.8142921
470,0.7829075
475,0.9431685
480,0.95663834
485,0.91966176
490,1.1314945
495,0.9513972
500,0.8650233
505,1.0445607
510,0.9245863
515,0.94940144
520,0.90175414
525,0.8128364
530,0.84794134
535,0.90307665
540,0.8737899
545,0.71380293
550,0.8422962
555,0.7523122
560,0.7506175
565,0.9899291
570,1.0401804
575,0.82301927
580,0.9648618
585,1.0025315
590,1.0662572
595,1.0598559
600,0.8898237
605,0.9523863
610,0.7056314
615,0.8735347
620,0.8214789
625,0.8883772
630,1.0296878
635,0.9934658
640,1.0577549
645,0.75932884
650,0.92685914
655,0.74252754
660,0.8900688
665,1.0984945
670,0.91602135
675,0.81813157
680,0.79959375
685,0.73984516
690,0.83153117
695,0.8284813
700,0.9059792
705,0.68077147
710,0.73731554
715,0.9601402
720,0.82771075
725,0.7970819
730,0.8144449
735,0.9606145
740,0.87669474
745,1.1158504
750,0.60212344
755,0.8499765
760,0.92131317
765,0.89820194
770,0.9149497
775,0.7204056
780,0.82069004
785,0.92877483
790,0.86162263
795,0.8374816
800,0.74198776
805,0.6681845
810,0.8786889
815,0.92166734
820,0.845603
825,0.72809994
830,0.8625967
835,0.6604232
840,0.6402387
845,0.8696389
850,0.67282104
855,1.0134295
860,0.6632017
865,0.70156443
870,0.69286734
875,0.8761822
880,0.7575671
885,0.6702719
890,0.67143214
895,0.73267996
900,0.64828515
905,0.67386234
910,0.8003939
915,0.51489043
920,0.53624916
925,0.61833465
930,0.5876701
935,0.7269753
940,0.7212788
945,0.5678837
950,0.72462857
955,0.98767275
960,0.5339792
965,0.6742617
970,0.71119875
975,0.70326936
980,0.4648167
985,0.5363401
990,0.7894586
995,0.64354885
1000,0.5388069
1005,0.5678804
1010,0.5200108
1015,0.7192402
1020,0.70048946
1025,0.47614843
1030,0.64189214
1035,0.6407968
1040,0.57314384
1045,0.5533395
1050,0.55302465
1055,0.81730425
1060,0.51060164
1065,0.6817426
1070,0.6028459
1075,0.53516597
1080,0.524334
1085,0.46259844
1090,0.43328395
1095,0.54588175
1100,0.6749822
1105,0.582286
1110,0.72776407
1115,0.46575236
1120,0.44621027
1125,0.5044752
1130,0.5943482
1135,0.7479633
1140,0.6772068
1145,0.7241426
1150,0.5270051
1155,0.56999487
1160,0.6301045
1165,0.3935172
1170,0.5475714
1175,0.75028706
1180,0.57484615
1185,0.6867502
1190,0.50962853
1195,0.41168654
1200,0.5682734
1205,0.5394014
1210,0.7839701
1215,0.5508882
1220,0.6337576
1225,0.6681974
1230,0.54921997
1235,0.641085
1240,0.5416395
1245,0.48235998
1250,0.7162898
1255,0.56712115
1260,0.48494235
1265,0.5012511
1270,0.64844227
1275,0.57964855
1280,0.5065792
1285,0.5432824
1290,0.5679229
1295,0.5886299
1300,0.733546
1305,0.5067768
1310,0.5259313
1315,0.6263486
1320,0.66115534
1325,0.6087924
1330,0.5315033
1335,0.4819451
1340,0.40828595
1345,0.6871997
1350,0.4945154
1355,0.47951427
1360,0.59626245
1365,0.75591975
1370,0.530434
1375,0.48899794
1380,0.47997057
1385,0.46148914
1390,0.5079649
1395,0.53014636
1400,0.58878976
1405,0.48013777
1410,0.45834652
1415,0.55255336
1420,0.5836538
1425,0.5066787
1430,0.53678244
1435,0.5754154
1440,0.43522948
1445,0.7000856
1450,0.5166277
1455,0.5643982
1460,0.4302722
1465,0.5331308
1470,0.52864754
1475,0.57862484
1480,0.6300675
1485,0.5201633
1490,0.5759067
1495,0.49467808
1500,0.51879084
1505,0.42197818
1510,0.5031756
1515,0.42494753
1520,0.60254526
1525,0.62771744
1530,0.5385612
