step,loss
0,2.2991834
5,2.1963167
10,2.0281403
15,1.8286574
20,1.7730193
25,1.3560234
30,1.4829834
35,1.1126206
40,1.3611523
45,1.2432575
50,1.1635528
55,1.2726941
60,1.2793682
65,1.3482053
70,1.2818269
75,1.1761706
80,1.0780015
85,1.1048396
90,1.1348091
95,1.087353
100,1.1068105
105,1.2733669
110,1.1584418
115,1.059067
120,0.98084813
125,1.022576
130,1.1109711
135,1.2898492
140,1.1343753
145,1.086081
150,1.0827278
155,0.85837454
160,1.0723698
165,1.0997059
170,0.88083684
175,0.8529085
180,0.92047805
185,0.89373696
190,1.1961217
195,0.93872905
200,0.998616
205,1.0174723
210,0.87086314
215,1.0344024
220,0.9546658
225,1.0900476
230,0.9613826
235,0.9606252
240,0.97862726
245,0.8452804
250,1.1106555
255,1.1551595
260,0.995127
265,0.78249204
270,0.87784916
275,0.96530807
280,0.9370013
285,0.9900211
290,1.0279276
295,1.0040636
300,0.7991351
305,1.1114056
310,0.96479344
315,0.96423537
320,1.0447679
325,0.9798218
330,1.0474571
335,0.7727725
340,0.9881078
345,0.99093795
350,1.0523021
355,0.8988439
360,0.9232759
365,0.9652743
370,0.86484754
375,0.9743975
380,1.025318
385,0.99585617
390,1.0783982
395,1.0500872
400,1.0501993
405,1.122918
410,1.0410042
415,1.0336269
420,1.0250237
425,0.86895573
430,0.94637394
435,0.8479677
440,0.87959236
445,0.8057521
450,1.0208126
455,0.9760393
460,0.91227835
465,0.8357992
470,0.92075616
475,0.79329
480,0.9024186
485,0.8910055
490,0.924434
495,0.93196434
500,0.99939203
505,0.81595093
510,0.78081
515,0.94978285
520,0.96974677
525,0.8124614
530,0.99888766
535,0.8346056
540,0.76638293
545,0.73422307
550,0.8376832
555,0.816493
560,0.9102328
565,0.9335555
570,0.85666895
575,0.8324478
580,1.0183079
585,0.90609807
590,0.9277756
595,0.9491889
600,0.91899896
605,0.8183672
610,1.0090641
615,0.6730472
620,0.83375645
625,0.8888345
630,0.88715714
635,0.8706378
640,1.1130357
645,0.86987877
650,0.85022324
655,0.6564837
660,1.1557548
665,1.0662185
670,0.8063692
675,0.99301946
680,0.76258016
685,0.7815663
690,0.88931
695,0.8692761
700,0.7262609
705,0.97499144
710,0.8740808
715,0.95876026
720,1.0042353
725,0.74472433
730,0.9486621
735,0.8884001
740,0.79408145
745,0.73709154
750,0.9366019
755,0.85637283
760,0.7425221
765,1.0255969
770,0.8712991
775,0.9632051
780,1.0839481
785,0.86805874
790,0.86806536
795,0.85626525
800,0.92122257
805,0.83233845
810,0.95478463
815,0.81184965
820,0.90198207
825,0.9744254
830,0.90387285
835,0.91836244
840,1.1169147
845,0.84906375
850,0.9559217
855,0.8465682
860,0.81423277
865,0.99253005
870,0.959016
875,0.90520775
880,0.9984143
885,1.0500436
890,0.9972398
895,0.9084498
900,0.9928727
905,0.8888093
910,0.8315921
915,0.9211431
920,0.95722467
925,1.0111394
930,0.941085
935,1.1009729
940,0.7597293
945,0.9028332
950,0.8863572
955,1.098619
960,0.86682814
965,1.1340569
970,0.95547354
975,0.9200975
980,0.82970667
985,0.7210033
990,1.009696
995,0.75947094
1000,0.84624845
1005,0.9020318
1010,0.9370185
1015,1.0453229
1020,1.0079472
1025,0.8463241
1030,0.9572673
1035,0.6843669
1040,1.0304883
1045,0.77555704
1050,0.7598295
1055,0.91792595
1060,0.9310356
1065,0.99384856
1070,0.8522682
1075,0.88309836
1080,0.8286826
1085,0.7564862
1090,0.8655785
1095,0.8646276
1100,0.84748256
1105,0.8853517
1110,1.0441928
1115,0.91842103
1120,0.9727198
1125,0.9004425
1130,0.95516664
1135,0.91962725
1140,0.91803825
1145,0.81019163
