step,train_acc
0,0.140625
5,0.3046875
10,0.40625
15,0.484375
20,0.4140625
25,0.6328125
30,0.5625
35,0.671875
40,0.59375
45,0.59375
50,0.6640625
55,0.640625
60,0.625
65,0.59375
70,0.6171875
75,0.671875
80,0.6640625
85,0.6484375
90,0.6484375
95,0.703125
100,0.6875
105,0.5859375
110,0.6796875
115,0.671875
120,0.7265625
125,0.6953125
130,0.640625
135,0.59375
140,0.6171875
145,0.6953125
150,0.640625
155,0.7109375
160,0.65625
165,0.6640625
170,0.7265625
175,0.75
180,0.71875
185,0.734375
190,0.6484375
195,0.6875
200,0.6796875
205,0.6875
210,0.7109375
215,0.6875
220,0.671875
225,0.703125
230,0.6875
235,0.703125
240,0.703125
245,0.7265625
250,0.6328125
255,0.6015625
260,0.6953125
265,0.75
270,0.703125
275,0.671875
280,0.6875
285,0.703125
290,0.75
295,0.6953125
300,0.7734375
305,0.6328125
310,0.71875
315,0.7109375
320,0.65625
325,0.6796875
330,0.6484375
335,0.7578125
340,0.703125
345,0.703125
350,0.703125
355,0.6796875
360,0.703125
365,0.671875
370,0.75
375,0.6796875
380,0.7109375
385,0.703125
390,0.671875
395,0.6640625
400,0.671875
405,0.671875
410,0.671875
415,0.65625
420,0.734375
425,0.6953125
430,0.6640625
435,0.703125
440,0.765625
445,0.7265625
450,0.703125
455,0.703125
460,0.671875
465,0.7265625
470,0.71875
475,0.7890625
480,0.6953125
485,0.7109375
490,0.6953125
495,0.671875
500,0.7265625
505,0.7734375
510,0.734375
515,0.6796875
520,0.6953125
525,0.71875
530,0.6875
535,0.734375
540,0.7421875
545,0.71875
550,0.71875
555,0.71875
560,0.703125
565,0.6875
570,0.7265625
575,0.734375
580,0.7109375
585,0.671875
590,0.6953125
595,0.734375
600,0.703125
605,0.796875
610,0.671875
615,0.7890625
620,0.703125
625,0.6875
630,0.75
635,0.6875
640,0.5859375
645,0.703125
650,0.7421875
655,0.8125
660,0.578125
665,0.671875
670,0.7421875
675,0.6640625
680,0.75
685,0.7265625
690,0.6796875
695,0.6875
700,0.8125
705,0.65625
710,0.71875
715,0.734375
720,0.7109375
725,0.7578125
730,0.703125
735,0.75
740,0.7734375
745,0.765625
750,0.6640625
755,0.7265625
760,0.78125
765,0.6875
770,0.703125
775,0.6796875
780,0.6953125
785,0.6953125
790,0.75
795,0.71875
800,0.671875
805,0.7265625
810,0.75
815,0.7109375
820,0.6796875
825,0.703125
830,0.71875
835,0.7109375
840,0.609375
845,0.7578125
850,0.7109375
855,0.7265625
860,0.734375
865,0.640625
870,0.6953125
875,0.6875
880,0.640625
885,0.6171875
890,0.6953125
895,0.6953125
900,0.6796875
905,0.671875
910,0.7578125
915,0.7265625
920,0.703125
925,0.671875
930,0.71875
935,0.6171875
940,0.7578125
945,0.703125
950,0.71875
955,0.640625
960,0.7421875
965,0.625
970,0.6640625
975,0.6796875
980,0.7265625
985,0.7734375
990,0.6953125
995,0.7578125
1000,0.703125
1005,0.6875
1010,0.7109375
1015,0.640625
1020,0.640625
1025,0.7421875
1030,0.6796875
1035,0.7890625
1040,0.6875
1045,0.765625
1050,0.75
1055,0.7109375
1060,0.6875
1065,0.6640625
1070,0.71875
1075,0.6953125
1080,0.703125
1085,0.75
1090,0.6875
1095,0.7265625
1100,0.7265625
1105,0.7109375
1110,0.6875
1115,0.6953125
1120,0.71875
1125,0.703125
1130,0.6953125
1135,0.7109375
1140,0.71875
1145,0.71875
