step,train_acc
0,0.1640625
5,0.375
10,0.390625
15,0.3984375
20,0.4296875
25,0.5
30,0.5234375
35,0.546875
40,0.640625
45,0.5546875
50,0.53125
55,0.578125
60,0.484375
65,0.5390625
70,0.5390625
75,0.625
80,0.6171875
85,0.5859375
90,0.5390625
95,0.6015625
100,0.5078125
105,0.5390625
110,0.5078125
115,0.453125
120,0.6171875
125,0.5078125
130,0.5703125
135,0.5859375
140,0.625
145,0.6484375
150,0.625
155,0.5390625
160,0.4921875
165,0.6484375
170,0.609375
175,0.609375
180,0.59375
185,0.5859375
190,0.5859375
195,0.65625
200,0.640625
205,0.578125
210,0.59375
215,0.5703125
220,0.6015625
225,0.5546875
230,0.6015625
235,0.578125
240,0.5390625
245,0.609375
250,0.546875
255,0.53125
260,0.6328125
265,0.6484375
270,0.5546875
275,0.6328125
280,0.5625
285,0.65625
290,0.6015625
295,0.671875
300,0.65625
305,0.625
310,0.671875
315,0.640625
320,0.609375
325,0.625
330,0.6328125
335,0.65625
340,0.65625
345,0.640625
350,0.671875
355,0.703125
360,0.6640625
365,0.703125
370,0.6796875
375,0.6953125
380,0.6875
385,0.6640625
390,0.71875
395,0.65625
400,0.78125
405,0.6015625
410,0.6640625
415,0.640625
420,0.6640625
425,0.625
430,0.640625
435,0.7421875
440,0.671875
445,0.6171875
450,0.609375
455,0.671875
460,0.71875
465,0.734375
470,0.625
475,0.6640625
480,0.71875
485,0.703125
490,0.65625
495,0.6484375
500,0.6953125
505,0.6875
510,0.671875
515,0.703125
520,0.71875
525,0.6796875
530,0.734375
535,0.6484375
540,0.703125
545,0.6953125
550,0.6171875
555,0.7109375
560,0.7109375
565,0.6953125
570,0.6484375
575,0.625
580,0.6640625
585,0.609375
590,0.6640625
595,0.703125
600,0.7265625
605,0.6796875
610,0.6171875
615,0.75
620,0.7265625
625,0.65625
630,0.65625
635,0.6171875
640,0.6953125
645,0.6484375
650,0.671875
655,0.7109375
660,0.6171875
665,0.734375
670,0.6796875
675,0.671875
680,0.6875
685,0.703125
690,0.6796875
695,0.703125
700,0.6640625
705,0.6484375
710,0.6640625
715,0.6875
720,0.6796875
725,0.6953125
730,0.6875
735,0.703125
740,0.71875
745,0.7578125
750,0.6875
755,0.6640625
760,0.7109375
765,0.6875
770,0.6875
775,0.7109375
780,0.6640625
785,0.734375
790,0.703125
795,0.6640625
800,0.6875
805,0.6796875
810,0.6640625
815,0.71875
820,0.6328125
